SMILES,HOMO,LUMO
C1(C2=C/3C=CC=C2)=CC=CC=C1C3=C4C5=C(C=CC=C5)C6=CC=CC=C6\4,-5.58,-3.37
O=C1C(/C(C2=CC(Cl)=C(Cl)C=C12)=C(C#N)/C#N)=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C(C9=CC(F)=C(CC(CC)CCCC)S9)C%10=C(SC%11=C%10C(C%12=CC=C(CCCCCC)C=C%12)(C%13=CC=C(CCCCCC)C=C%13)C%14=C%11SC(/C=C(C%15=O)/C(C%16=CC(Cl)=C(Cl)C=C%15%16)=C(C#N)/C#N)=C%14)C(C%17=CC(F)=C(CC(CC)CCCC)S%17)=C68)=C7S3,-5.7,-3.91
O=C(N(C1=O)CC(CC)CCCC)C2=C(C3=CC=C(C4=CC=C(N(C5=CC=C(C6=CC=C(C7=C(C(N(CC(CC)CCCC)C8=O)=O)C(C8=CC=C9C%10=C%11OCCOC)=C9C(C%12=CC=C(C%13=O)C(C(C(N%13CC(CC)CCCC)=O)=C%11)=C%12%10)=C7)S6)C=C5)C%14=CC=C(C%15=CC=C(C%16=C(C(N(CC(CC)CCCC)C%17=O)=O)C(C%17=CC=C%18C%19=C%20OCCOC)=C%18C(C%21=CC=C(C%22=O)C(C(C(N%22CC(CC)CCCC)=O)=C%20)=C%21%19)=C%16)S%15)C=C%14)C=C4)S3)C=C(C%23=CC=C(C%24=O)C%25=C%23%26)C%27=C2C1=CC=C%27C%26=C(C=C%25C(N%24CC(CC)CCCC)=O)OCCOC,-5.6,-3.8
O=C(N1CC(CCCC)CCCCCC)/C(C2=CC=C(C(SC(/C=C(C3=O)\C(C4=CC=CC=C34)=C(C#N)\C#N)=C5)=C5OCC(CCCC)CCCCCC)C=C12)=C6C7=CC=C(C(SC(/C=C(C8=O)/C(C9=CC=CC=C89)=C(C#N)\C#N)=C%10)=C%10OCC(CCCC)CCCCCC)C=C7N(CC(CCCC)CCCCCC)C\6=O,-5.74,-3.93
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C(C=C(/C=C4C(C5=C(C/4=C(C#N)/C#N)C=CC=C5)=O)S6)=C6C7=CC8=C(C(SC9=C%10SC(/C=C%11/C(C(C=CC=C%12)=C%12C%11=O)=C(C#N)\C#N)=C9)=C%10C8(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C=C27)C=C1,-5.62,-3.9
CCCCCCOC1=CC=CC(C2(C3=CC(OCCCCCC)=CC=C3)C(C(SC(/C=C(C4=O)\C(C5=CC(Cl)=C(Cl)C=C45)=C(C#N)/C#N)=C6)=C6S7)=C7C8=CC9=C(C(SC%10=C%11SC(/C=C(C%12=O)/C(C%13=CC(Cl)=C(Cl)C=C%12%13)=C(C#N)/C#N)=C%10)=C%11C9(C%14=CC(OCCCCCC)=CC=C%14)C%15=CC(OCCCCCC)=CC=C%15)C=C28)=C1,-5.78,-4.05
COC1=CC=C2C(/C(C3=CC(OC)=CC=C23)=C4C5=CC(OC)=CC=C5C6=CC=C(OC)C=C/46)=C1,-5.38,-3.39
COC1=CC=C2C(C3=CC(OC)=CC=C3/C2=C4C5=CC6=CC=CC=C6C=C5C7=CC8=CC=CC=C8C=C\47)=C1,-5.17,-3.24
O=C1C(/C(C2=CC=CC=C12)=C(C#N)/C#N)=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=CC9=C(SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC(/C=C(C%14=O)/C(C%15=CC=CC=C%14%15)=C(C#N)/C#N)=C%13)C=C68)=C7S3,-5.4,-3.83
O=C(C(/C1=C(C#N)/C#N)=C\C2=CC(C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C6SC7=C5C(C8=CC=C(CC(CC)CCCC)S8)=C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14\C(C(C=CC=C%15)=C%15C%14=O)=C(C#N)\C#N)=C%13)C%10=C7C%16=CC=C(CC(CC)CCCC)S%16)=C6S2)C%17=C1C=CC=C%17,-5.59,-3.91
